city_name,点数量,边数量,city_around_list_name
海口,17,19,"[('澄迈', '海口'), ('儋州', '海口'), ('屯昌县', '海口'), ('临高县', '海口'), ('陵水黎族自治县', '海口'), ('陵水黎族自治县', '三亚'), ('定安县', '海口'), ('海口', '定安'), ('海口', '屯昌'), ('海口', '临高'), ('海口', '澄迈县'), ('海口', '文昌'), ('海口', '三亚'), ('海口', '万宁'), ('海口', '琼海'), ('海口', '东方'), ('海口', '乐东黎族自治县'), ('三亚', '乐东黎族自治县'), ('三亚', '万宁')]"
贵阳,12,30,"[('黔东南苗族侗族自治州', '铜仁地区'), ('黔东南苗族侗族自治州', '贵阳'), ('黔东南苗族侗族自治州', '黔南布依族苗族自治州'), ('黔东南苗族侗族自治州', '铜仁'), ('重庆', '铜仁地区'), ('重庆', '遵义'), ('重庆', '铜仁'), ('重庆', '贵阳'), ('贵阳', '铜仁地区'), ('贵阳', '毕节地区'), ('贵阳', '黔南布依族苗族自治州'), ('贵阳', '毕节'), ('贵阳', '遵义'), ('贵阳', '安顺'), ('贵阳', '六盘水'), ('贵阳', '铜仁'), ('贵阳', '黔西南布依族苗族自治州'), ('黔西南布依族苗族自治州', '六盘水'), ('黔西南布依族苗族自治州', '安顺'), ('毕节', '六盘水'), ('毕节', '遵义'), ('毕节', '安顺'), ('安顺', '毕节地区'), ('安顺', '六盘水'), ('安顺', '黔南布依族苗族自治州'), ('遵义', '铜仁地区'), ('遵义', '毕节地区'), ('遵义', '铜仁'), ('遵义', '黔南布依族苗族自治州'), ('毕节地区', '六盘水')]"
昆明,13,21,"[('玉溪', '昆明'), ('玉溪', '红河哈尼族彝族自治州'), ('楚雄彝族自治州', '昆明'), ('楚雄彝族自治州', '大理白族自治州'), ('昆明', '曲靖'), ('昆明', '红河哈尼族彝族自治州'), ('昆明', '大理白族自治州'), ('昆明', '昭通'), ('昆明', '文山壮族苗族自治州'), ('昆明', '普洱'), ('昆明', '丽江'), ('昆明', '西双版纳傣族自治州'), ('昆明', '保山'), ('昆明', '临沧'), ('普洱', '西双版纳傣族自治州'), ('大理白族自治州', '保山'), ('大理白族自治州', '丽江'), ('临沧', '保山'), ('曲靖', '红河哈尼族彝族自治州'), ('曲靖', '昭通'), ('红河哈尼族彝族自治州', '文山壮族苗族自治州')]"
拉萨,3,2,"[('山南地区', '拉萨'), ('拉萨', '山南')]"
西安,13,18,"[('运城', '西安'), ('运城', '渭南'), ('渭南', '西安'), ('渭南', '铜川'), ('渭南', '咸阳'), ('渭南', '延安'), ('榆林', '西安'), ('榆林', '延安'), ('延安', '西安'), ('成都', '西安'), ('商洛', '西安'), ('宝鸡', '西安'), ('宝鸡', '咸阳'), ('铜川', '西安'), ('安康', '西安'), ('西安', '咸阳'), ('西安', '汉中'), ('西安', '庆阳')]"
兰州,6,7,"[('白银', '兰州'), ('兰州', '定西'), ('兰州', '临夏回族自治州'), ('兰州', '武威'), ('兰州', '天水'), ('临夏回族自治州', '定西'), ('定西', '天水')]"
西宁,6,5,"[('海南藏族自治州', '西宁'), ('海东地区', '西宁'), ('西宁', '海东'), ('西宁', '海北藏族自治州'), ('西宁', '海西蒙古族藏族自治州')]"
银川,6,7,"[('吴忠', '银川'), ('吴忠', '中卫'), ('银川', '鄂尔多斯'), ('银川', '石嘴山'), ('银川', '中卫'), ('银川', '固原'), ('固原', '中卫')]"
乌鲁木齐,11,16,"[('哈密', '乌鲁木齐'), ('哈密', '昌吉回族自治州'), ('伊犁哈萨克自治州', '乌鲁木齐'), ('伊犁哈萨克自治州', '塔城地区'), ('昌吉回族自治州', '乌鲁木齐'), ('昌吉回族自治州', '石河子'), ('昌吉回族自治州', '五家渠'), ('昌吉回族自治州', '哈密地区'), ('塔城地区', '乌鲁木齐'), ('塔城地区', '石河子'), ('石河子', '乌鲁木齐'), ('哈密地区', '乌鲁木齐'), ('吐鲁番', '乌鲁木齐'), ('巴音郭楞蒙古自治州', '乌鲁木齐'), ('吐鲁番地区', '乌鲁木齐'), ('乌鲁木齐', '五家渠')]"
北京,6,7,"[('张家口', '北京'), ('天津', '北京'), ('天津', '廊坊'), ('北京', '廊坊'), ('北京', '保定'), ('北京', '承德'), ('保定', '廊坊')]"
上海,15,48,"[('常州', '上海'), ('常州', '南京'), ('常州', '无锡'), ('常州', '苏州'), ('常州', '泰州'), ('泰州', '上海'), ('泰州', '南京'), ('泰州', '无锡'), ('泰州', '苏州'), ('泰州', '南通'), ('泰州', '盐城'), ('合肥', '上海'), ('合肥', '南京'), ('宁波', '上海'), ('宁波', '苏州'), ('宁波', '杭州'), ('宁波', '绍兴'), ('宁波', '舟山'), ('宁波', '嘉兴'), ('杭州', '上海'), ('杭州', '南京'), ('杭州', '苏州'), ('杭州', '嘉兴'), ('杭州', '绍兴'), ('杭州', '湖州'), ('南京', '上海'), ('南京', '苏州'), ('南京', '无锡'), ('南京', '南通'), ('南京', '盐城'), ('无锡', '上海'), ('无锡', '苏州'), ('无锡', '南通'), ('无锡', '盐城'), ('上海', '苏州'), ('上海', '嘉兴'), ('上海', '南通'), ('上海', '绍兴'), ('上海', '盐城'), ('上海', '湖州'), ('上海', '舟山'), ('苏州', '南通'), ('苏州', '嘉兴'), ('苏州', '湖州'), ('苏州', '盐城'), ('南通', '盐城'), ('湖州', '嘉兴'), ('绍兴', '嘉兴')]"
南京,19,56,"[('马鞍山', '南京'), ('马鞍山', '合肥'), ('马鞍山', '芜湖'), ('无锡', '上海'), ('无锡', '南京'), ('无锡', '苏州'), ('无锡', '常州'), ('无锡', '泰州'), ('无锡', '南通'), ('无锡', '盐城'), ('淮安', '南京'), ('淮安', '苏州'), ('淮安', '连云港'), ('淮安', '宿迁'), ('淮安', '扬州'), ('淮安', '盐城'), ('苏州', '上海'), ('苏州', '南京'), ('苏州', '常州'), ('苏州', '南通'), ('苏州', '泰州'), ('苏州', '盐城'), ('苏州', '杭州'), ('苏州', '扬州'), ('苏州', '镇江'), ('常州', '上海'), ('常州', '南京'), ('常州', '镇江'), ('常州', '泰州'), ('杭州', '上海'), ('杭州', '南京'), ('连云港', '南京'), ('连云港', '盐城'), ('上海', '南通'), ('上海', '南京'), ('上海', '合肥'), ('上海', '泰州'), ('上海', '盐城'), ('南通', '南京'), ('南通', '盐城'), ('南通', '泰州'), ('滁州', '南京'), ('滁州', '合肥'), ('芜湖', '南京'), ('芜湖', '合肥'), ('扬州', '南京'), ('扬州', '泰州'), ('扬州', '镇江'), ('徐州', '南京'), ('徐州', '宿迁'), ('宿迁', '南京'), ('盐城', '南京'), ('盐城', '泰州'), ('镇江', '南京'), ('合肥', '南京'), ('泰州', '南京')]"
广州,13,33,"[('惠州', '广州'), ('惠州', '深圳'), ('惠州', '佛山'), ('惠州', '东莞'), ('广州', '佛山'), ('广州', '东莞'), ('广州', '深圳'), ('广州', '清远'), ('广州', '中山'), ('广州', '肇庆'), ('广州', '江门'), ('广州', '珠海'), ('广州', '湛江'), ('广州', '韶关'), ('广州', '茂名'), ('东莞', '深圳'), ('东莞', '佛山'), ('东莞', '江门'), ('东莞', '清远'), ('东莞', '中山'), ('佛山', '深圳'), ('佛山', '珠海'), ('佛山', '中山'), ('佛山', '肇庆'), ('佛山', '江门'), ('佛山', '清远'), ('茂名', '湛江'), ('江门', '深圳'), ('江门', '珠海'), ('江门', '中山'), ('珠海', '深圳'), ('珠海', '中山'), ('中山', '深圳')]"
深圳,13,33,"[('汕头', '深圳'), ('汕头', '揭阳'), ('惠州', '广州'), ('惠州', '深圳'), ('惠州', '佛山'), ('惠州', '东莞'), ('惠州', '河源'), ('惠州', '汕尾'), ('广州', '佛山'), ('广州', '东莞'), ('广州', '深圳'), ('广州', '中山'), ('广州', '江门'), ('广州', '珠海'), ('河源', '深圳'), ('河源', '东莞'), ('东莞', '深圳'), ('东莞', '佛山'), ('东莞', '江门'), ('东莞', '中山'), ('佛山', '深圳'), ('佛山', '珠海'), ('佛山', '中山'), ('佛山', '江门'), ('汕尾', '深圳'), ('江门', '深圳'), ('江门', '珠海'), ('江门', '中山'), ('揭阳', '深圳'), ('珠海', '深圳'), ('珠海', '中山'), ('梅州', '深圳'), ('中山', '深圳')]"
重庆,7,10,"[('重庆', '成都'), ('重庆', '广安'), ('重庆', '遵义'), ('重庆', '泸州'), ('重庆', '达州'), ('重庆', '恩施土家族苗族自治州'), ('泸州', '成都'), ('泸州', '遵义'), ('广安', '成都'), ('成都', '达州')]"
成都,21,29,"[('广元', '成都'), ('凉山彝族自治州', '成都'), ('内江', '成都'), ('内江', '自贡'), ('阿坝藏族羌族自治州', '成都'), ('遂宁', '成都'), ('自贡', '成都'), ('自贡', '宜宾'), ('眉山', '成都'), ('眉山', '乐山'), ('泸州', '重庆'), ('泸州', '成都'), ('泸州', '宜宾'), ('达州', '重庆'), ('达州', '成都'), ('雅安', '成都'), ('德阳', '成都'), ('德阳', '绵阳'), ('甘孜藏族自治州', '成都'), ('成都', '重庆'), ('成都', '绵阳'), ('成都', '乐山'), ('成都', '资阳'), ('成都', '南充'), ('成都', '宜宾'), ('成都', '巴中'), ('成都', '广安'), ('重庆', '广安'), ('南充', '广安')]"
