City_name,Average_node_connectivity,City_degree,Edge_number,Nature_connectivity,Average_short_length,Algebraic_connectivity,node_connectivity,connectivity_loss,size_of_largest_component,eco_value
武汉,1.25,15,23,1.9687036345868125,1.8083333333333333,1.0000000000000429,1,0.0,16,101.9
长沙,2.0994152046783627,18,37,2.818048897201754,1.7836257309941521,1.0000000000000717,1,0.0,19,101.6
南宁,2.08974358974359,12,24,2.370963776075406,1.6923076923076923,1.0000000000000402,1,0.0,13,101.5
海口,1.088235294117647,16,19,1.667813281552618,1.8602941176470589,1.0000000000000135,1,0.0,17,101.3
贵阳,3.5757575757575757,11,30,3.185689058443386,1.5454545454545454,1.6693613669399125,3,0.0,12,101.6
昆明,1.5,12,21,2.006565500395676,1.7307692307692308,1.0000000000000078,1,0.0,13,102.1
拉萨,1.0,2,2,0.5796736792348086,1.3333333333333333,1.0000000000000002,1,0.0,3,102.8
西安,1.4230769230769231,12,18,1.844950025056012,1.7692307692307692,1.0000000000000289,1,0.0,13,100.9
兰州,1.4666666666666666,5,7,1.241466949850764,1.5333333333333334,1.0000000000000016,1,0.0,6,102.6
西宁,1.0,5,5,0.8082114824928227,1.6666666666666667,1.0000000000000007,1,0.0,6,102.3
银川,1.4666666666666666,5,7,1.241466949850764,1.5333333333333334,1.0000000000000022,1,0.0,6,101.8
乌鲁木齐,1.6,10,16,1.8264200449912882,1.709090909090909,1.0000000000000226,1,0.0,11,102.8
北京,1.4666666666666666,5,7,1.2414669498507667,1.5333333333333334,1.000000000000003,1,0.0,6,101.8
上海,3.961904761904762,14,48,4.853099625873911,1.542857142857143,1.6543610535079167,2,0.0,15,102.1
南京,3.3684210526315788,18,56,4.835518571518443,1.672514619883041,1.2194005477492504,2,0.0,19,101.9
广州,2.9615384615384617,12,33,3.9920393076760012,1.5769230769230769,1.0000000000000138,1,0.0,13,102.4
深圳,2.9615384615384617,12,33,3.9249599432055793,1.5769230769230769,1.0000000000000056,1,0.0,13,102.0
重庆,1.8571428571428572,6,10,1.5999143189108969,1.5238095238095237,1.0000000000000036,1,0.0,7,102.7
成都,1.2285714285714286,20,29,2.1646389767660326,1.861904761904762,1.0000000000001124,1,0.0,21,101.6
天津,2.7142857142857144,6,13,2.2981274572707413,1.380952380952381,1.0000000000000007,1,0.0,7,101.2
石家庄,1.5,3,4,0.985744343053378,1.3333333333333333,1.0000000000000002,1,0.0,4,101.8
太原,1.3,4,5,0.9964805273591661,1.5,1.0000000000000009,1,0.0,5,101.6
呼和浩特,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,102.1
沈阳,1.1333333333333333,9,11,1.2751382860275804,1.7555555555555555,1.0000000000000067,1,0.0,10,100.8
大连,2.0,2,3,0.9963106677528506,1.0,2.999999999999999,2,0.0,3,101.1
长春,1.0,4,4,0.7442576395400112,1.6,0.9999999999999996,1,0.0,5,101.3
哈尔滨,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,100.6
杭州,4.209150326797386,17,63,5.832410018989453,1.588235294117647,1.66230595411666,2,0.0,18,100.8
宁波,6.036363636363636,10,41,5.522573615340719,1.2545454545454546,3.000000000000004,3,0.0,11,101.6
合肥,2.4926470588235294,16,39,3.1788685653148923,1.713235294117647,1.1023770341527857,2,0.0,17,101.4
