时间,连通分量,城市
20200103,4,['屯昌县']
20200103,5,['山南']
20200103,6,['日喀则']
20200103,7,['那曲']
20200103,8,['吐鲁番']
20200103,9,['哈密']
20200104,0,"['定西', '兰州', '白银', '临夏回族自治州', '武威', '天水', '西宁', '平凉', '海东', '西安', '陇南', '庆阳', '南宁', '河池', '柳州', '百色', '宜春', '新余', '南昌', '大连', '营口', '沈阳', '鞍山', '盘锦', '北京', '丽江', '广州', '阳江', '茂名', '江门', '佛山', '上饶', '鹰潭', '东莞', '深圳', '清远', '中山', '惠州', '肇庆', '珠海', '韶关', '湛江', '梅州', '河源', '云浮', '长沙', '汕头', '上海', '揭阳', '衡阳', '汕尾', '赣州', '武汉', '郴州', '成都', '重庆', '常德', '益阳', '张家界', '荆州', '大理白族自治州', '昆明', '鄂尔多斯', '榆林', '潜江', '哈尔滨', '齐齐哈尔', '呼伦贝尔', '大庆', '黑河', '兴安盟', '绥化', '娄底', '邵阳', '湘潭', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '阳泉', '运城', '大同', '朔州', '晋城', '石家庄', '黄石', '鄂州', '黄冈', '宁波', '舟山', '杭州', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '丹东', '长春', '通辽', '朝阳', '葫芦岛', '萍乡', '株洲', '凉山彝族自治州', '昭通', '攀枝花', '来宾', '桂林', '邯郸', '宜宾', '毕节', '金华', '曲靖', '嘉兴', '乐山', '眉山', '自贡', '贵港', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '黔南布依族苗族自治州', '郑州', '安阳', '鹤壁', '新乡', '濮阳', '济南', '泰安', '济宁', '临沂', '青岛', '淄博', '潍坊', '菏泽', '聊城', '镇江', '南京', '滁州', '马鞍山', '扬州', '苏州', '常州', '淮安', '无锡', '合肥', '宿迁', '南通', '盐城', '徐州', '泰州', '芜湖', '连云港', '宣城', '吉安', '九江', '抚州', '呼和浩特', '乌兰察布', '包头', '张家口', '锡林郭勒盟', '金昌', '唐山', '秦皇岛', '天津', '岳阳', '永州', '怀化', '湘西土家族苗族自治州', '东营', '烟台', '日照', '滨州', '景德镇', '台州', '温州', '丽水', '宁德', '德州', '枣庄', '铜陵', '安庆', '池州', '玉溪', '红河哈尼族彝族自治州', '孝感', '咸宁', '襄阳', '荆门', '仙桃', '随州', '宜昌', '十堰', '信阳', '天门', '恩施土家族苗族自治州', '衢州', '赤峰', '承德', '广安', '遵义', '达州', '泸州', '南充', '内江', '遂宁', '铜仁', '泉州', '资阳', '绵阳', '福州', '阜阳', '亳州', '周口', '淮南', '六安', '驻马店', '邢台', '保定', '衡水', '沧州', '廊坊', '宝鸡', '咸阳', '贺州', '焦作', '开封', '湖州', '楚雄彝族自治州', '松原', '白城', '四平', '普洱', '西双版纳傣族自治州', '济源', '洛阳', '汉中', '巴彦淖尔', '乌海', '佳木斯', '双鸭山', '鹤岗', '绍兴', '钦州', '北海', '防城港', '玉林', '雅安', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '商丘', '许昌', '厦门', '龙岩', '漳州', '三明', '海南藏族自治州', '文山壮族苗族自治州', '临沧', '德阳', '阿坝藏族羌族自治州', '甘孜藏族自治州', '广元', '巴中', '蚌埠', '宿州', '淮北', '莆田', '南平', '吉林', '延边朝鲜族自治州', '通化', '辽源', '白山', '延安', '渭南', '商洛', '铜川', '安康', '三门峡', '平顶山', '漯河', '崇左', '思茅', '南阳', '黔东南苗族侗族自治州', '威海', '鸡西', '襄樊', '张掖', '牡丹江', '潮州', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200104,1,['澄迈县']
20200104,2,['定安县']
20200104,3,['临高县']
20200104,4,['屯昌县']
20200104,5,['山南']
20200104,6,['日喀则']
20200104,7,['那曲']
20200104,8,['吐鲁番']
20200104,9,['哈密']
