时间,连通分量,分量的城市
20200310,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200310,3,"['通辽', '赤峰']"
20200310,4,"['宁波', '南京', '枣庄', '沧州', '徐州', '宿州', '厦门', '台州', '濮阳', '嘉兴', '镇江', '邢台', '开封', '蚌埠', '周口', '舟山', '连云港', '日照', '宣城', '滨州', '宁德', '杭州', '许昌', '北京', '唐山', '扬州', '济宁', '淄博', '南通', '淮南', '上海', '龙岩', '福州', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '保定', '平顶山', '焦作', '漳州', '马鞍山', '绍兴', '丽水', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '石家庄', '廊坊', '温州', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '驻马店', '德州', '莆田', '漯河', '无锡', '南阳', '合肥', '秦皇岛', '湖州', '淮北', '安阳']"
20200310,5,"['鞍山', '长春', '葫芦岛', '本溪', '锦州', '铁岭', '大连', '辽阳', '松原', '营口', '盘锦', '沈阳', '四平', '阜新', '抚顺']"
20200310,6,"['郴州', '岳阳', '常德', '娄底', '湘潭', '张家界', '湘西土家族苗族自治州', '永州', '长沙', '株洲', '益阳', '怀化', '邵阳', '衡阳']"
20200310,7,"['武汉', '黄冈', '孝感']"
20200310,8,"['赣州', '抚州', '南昌', '宜春', '吉安', '九江']"
20200310,9,"['西宁', '海西蒙古族藏族自治州']"
20200310,10,"['白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200310,11,"['大同', '朔州']"
20200310,12,"['哈尔滨', '绥化', '大庆']"
20200310,13,"['烟台', '威海']"
20200311,1,"['肇庆', '昆明', '湛江', '临沧', '重庆', '深圳', '江门', '攀枝花', '汕头', '资阳', '潮州', '玉溪', '内江', '楚雄彝族自治州', '铜仁', '文山壮族苗族自治州', '云浮', '揭阳', '雅安', '北海', '清远', '眉山', '六盘水', '黔东南苗族侗族自治州', '百色', '泸州', '自贡', '保山', '乐山', '贵阳', '绵阳', '佛山', '东莞', '黔西南布依族苗族自治州', '贵港', '遵义', '成都', '德宏傣族景颇族自治州', '广安', '丽江', '河池', '来宾', '曲靖', '德阳', '汕尾', '珠海', '河源', '中山', '遂宁', '南宁', '桂林', '安顺', '防城港', '广州', '红河哈尼族彝族自治州', '昭通', '玉林', '茂名', '惠州', '达州', '钦州', '毕节', '崇左', '凉山彝族自治州', '柳州', '韶关', '大理白族自治州', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200311,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200311,3,"['朝阳', '通辽', '赤峰']"
20200311,4,"['宁波', '南京', '济南', '枣庄', '沧州', '徐州', '宿州', '厦门', '台州', '青岛', '濮阳', '嘉兴', '铜陵', '镇江', '邢台', '开封', '蚌埠', '周口', '舟山', '连云港', '日照', '宣城', '滨州', '宁德', '杭州', '许昌', '烟台', '泰安', '唐山', '扬州', '济宁', '淄博', '南通', '淮南', '龙岩', '福州', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '保定', '平顶山', '焦作', '漳州', '马鞍山', '绍兴', '丽水', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '石家庄', '廊坊', '温州', '池州', '潍坊', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '驻马店', '德州', '莆田', '漯河', '无锡', '南阳', '合肥', '秦皇岛', '湖州', '威海', '承德', '淮北', '安阳']"
20200311,5,"['鞍山', '长春', '葫芦岛', '本溪', '锦州', '铁岭', '大连', '辽阳', '松原', '营口', '盘锦', '沈阳', '四平', '吉林', '阜新', '抚顺']"
20200311,6,"['郴州', '岳阳', '常德', '娄底', '湘潭', '张家界', '湘西土家族苗族自治州', '永州', '长沙', '株洲', '益阳', '怀化', '邵阳', '衡阳']"
20200311,7,"['武汉', '黄冈', '孝感']"
20200311,8,"['赣州', '抚州', '南昌', '宜春', '景德镇', '吉安', '九江', '上饶', '新余']"
20200311,9,"['西宁', '海西蒙古族藏族自治州']"
20200311,10,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200311,11,"['大同', '朔州']"
20200311,12,"['哈尔滨', '绥化', '大庆']"
20200312,1,"['梅州', '肇庆', '昆明', '湛江', '临沧', '重庆', '深圳', '汕头', '攀枝花', '江门', '资阳', '潮州', '玉溪', '内江', '楚雄彝族自治州', '铜仁', '文山壮族苗族自治州', '云浮', '揭阳', '雅安', '北海', '清远', '眉山', '六盘水', '黔东南苗族侗族自治州', '百色', '泸州', '自贡', '保山', '乐山', '贵阳', '绵阳', '佛山', '东莞', '黔西南布依族苗族自治州', '贵港', '遵义', '成都', '德宏傣族景颇族自治州', '广安', '丽江', '来宾', '河池', '曲靖', '德阳', '汕尾', '珠海', '河源', '中山', '遂宁', '南宁', '桂林', '安顺', '防城港', '广州', '红河哈尼族彝族自治州', '昭通', '玉林', '茂名', '惠州', '达州', '钦州', '毕节', '崇左', '凉山彝族自治州', '柳州', '韶关', '大理白族自治州', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200312,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200312,3,"['宁波', '南京', '济南', '营口', '葫芦岛', '枣庄', '沧州', '徐州', '铁岭', '辽阳', '张家口', '宿州', '厦门', '台州', '青岛', '濮阳', '嘉兴', '铜陵', '镇江', '邢台', '大连', '开封', '周口', '蚌埠', '舟山', '日照', '连云港', '宣城', '滨州', '宁德', '杭州', '本溪', '许昌', '烟台', '北京', '泰安', '抚顺', '唐山', '扬州', '淄博', '济宁', '阜新', '南通', '淮南', '鞍山', '上海', '龙岩', '福州', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '盘锦', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '四平', '保定', '吉林', '平顶山', '焦作', '漳州', '马鞍山', '绍兴', '丽水', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '长春', '廊坊', '石家庄', '松原', '温州', '池州', '潍坊', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '德州', '驻马店', '莆田', '漯河', '无锡', '南阳', '锦州', '合肥', '秦皇岛', '湖州', '沈阳', '威海', '承德', '淮北', '安阳']"
20200312,4,"['朝阳', '通辽', '赤峰']"
20200312,5,"['郴州', '岳阳', '常德', '娄底', '湘潭', '湘西土家族苗族自治州', '永州', '长沙', '株洲', '益阳', '怀化', '邵阳', '衡阳']"
20200312,6,"['武汉', '黄冈', '孝感']"
20200312,7,"['抚州', '南昌', '宜春', '景德镇', '九江', '上饶']"
20200312,8,"['西宁', '海西蒙古族藏族自治州']"
20200312,9,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200312,10,"['大同', '朔州']"
20200312,11,"['哈尔滨', '绥化', '大庆']"
20200312,12,"['赣州', '吉安']"
20200313,1,"['梅州', '深圳', '湛江', '攀枝花', '铜仁', '赣州', '南昌', '眉山', '鹰潭', '六盘水', '泸州', '贵阳', '东莞', '来宾', '遵义', '德宏傣族景颇族自治州', '景德镇', '曲靖', '遂宁', '桂林', '玉林', '惠州', '韶关', '肇庆', '昆明', '宜春', '汕头', '文山壮族苗族自治州', '揭阳', '雅安', '黔东南苗族侗族自治州', '百色', '乐山', '佛山', '保山', '成都', '中山', '南宁', '上饶', '防城港', '广州', '达州', '柳州', '大理白族自治州', '九江', '广元', '南充', '临沧', '资阳', '玉溪', '内江', '北海', '绵阳', '黔西南布依族苗族自治州', '广安', '河池', '汕尾', '珠海', '河源', '红河哈尼族彝族自治州', '昭通', '茂名', '吉安', '钦州', '崇左', '黔南布依族苗族自治州', '江门', '重庆', '潮州', '楚雄彝族自治州', '云浮', '抚州', '清远', '自贡', '贵港', '丽江', '德阳', '安顺', '新余', '毕节', '凉山彝族自治州', '巴中']"
20200313,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200313,3,"['大庆', '宁波', '南京', '济南', '营口', '葫芦岛', '枣庄', '沧州', '徐州', '铁岭', '辽阳', '张家口', '宿州', '厦门', '台州', '青岛', '濮阳', '嘉兴', '绥化', '铜陵', '镇江', '邢台', '大连', '开封', '周口', '蚌埠', '舟山', '日照', '连云港', '宣城', '滨州', '哈尔滨', '白城', '宁德', '杭州', '本溪', '许昌', '烟台', '北京', '泰安', '抚顺', '唐山', '扬州', '淄博', '济宁', '阜新', '南通', '淮南', '鞍山', '上海', '龙岩', '福州', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '盘锦', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '四平', '保定', '吉林', '平顶山', '焦作', '漳州', '马鞍山', '绍兴', '丽水', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '长春', '廊坊', '石家庄', '松原', '温州', '池州', '潍坊', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '德州', '驻马店', '莆田', '漯河', '无锡', '南阳', '锦州', '合肥', '秦皇岛', '湖州', '沈阳', '威海', '承德', '淮北', '安阳']"
20200313,4,"['朝阳', '通辽', '赤峰']"
20200313,5,"['郴州', '岳阳', '常德', '娄底', '湘潭', '张家界', '湘西土家族苗族自治州', '永州', '长沙', '株洲', '益阳', '怀化', '邵阳', '衡阳']"
20200313,6,"['武汉', '黄冈']"
20200313,7,"['西宁', '海西蒙古族藏族自治州']"
20200313,8,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200313,9,"['大同', '朔州']"
20200314,1,"['梅州', '深圳', '湛江', '攀枝花', '长沙', '铜仁', '赣州', '南昌', '眉山', '鹰潭', '六盘水', '泸州', '湘西土家族苗族自治州', '贵阳', '东莞', '株洲', '来宾', '遵义', '德宏傣族景颇族自治州', '景德镇', '曲靖', '常德', '遂宁', '桂林', '邵阳', '玉林', '惠州', '韶关', '肇庆', '昆明', '宜春', '汕头', '文山壮族苗族自治州', '衡阳', '揭阳', '雅安', '百色', '黔东南苗族侗族自治州', '乐山', '佛山', '保山', '成都', '中山', '南宁', '上饶', '防城港', '广州', '达州', '柳州', '大理白族自治州', '九江', '广元', '南充', '临沧', '张家界', '资阳', '玉溪', '内江', '益阳', '萍乡', '北海', '湘潭', '绵阳', '黔西南布依族苗族自治州', '广安', '河池', '汕尾', '珠海', '河源', '娄底', '红河哈尼族彝族自治州', '昭通', '梧州', '茂名', '岳阳', '吉安', '钦州', '崇左', '永州', '黔南布依族苗族自治州', '江门', '重庆', '潮州', '楚雄彝族自治州', '郴州', '云浮', '抚州', '清远', '自贡', '阳江', '贵港', '怀化', '丽江', '德阳', '安顺', '新余', '毕节', '凉山彝族自治州', '巴中', '贺州']"
20200314,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200314,3,"['大庆', '宁波', '南京', '济南', '营口', '葫芦岛', '枣庄', '沧州', '徐州', '铁岭', '辽阳', '张家口', '宿州', '厦门', '台州', '青岛', '濮阳', '嘉兴', '绥化', '铜陵', '镇江', '邢台', '大连', '开封', '周口', '蚌埠', '舟山', '日照', '连云港', '宣城', '滨州', '哈尔滨', '白城', '宁德', '杭州', '本溪', '许昌', '烟台', '北京', '泰安', '抚顺', '唐山', '扬州', '淄博', '济宁', '阜新', '南通', '淮南', '鞍山', '上海', '龙岩', '福州', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '盘锦', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '四平', '保定', '吉林', '平顶山', '焦作', '漳州', '马鞍山', '绍兴', '丽水', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '长春', '廊坊', '石家庄', '松原', '温州', '池州', '潍坊', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '德州', '驻马店', '莆田', '漯河', '无锡', '南阳', '锦州', '合肥', '秦皇岛', '湖州', '沈阳', '威海', '承德', '淮北', '安阳']"
20200314,4,"['朝阳', '通辽', '赤峰']"
20200314,5,"['武汉', '黄冈', '孝感']"
20200314,6,"['荆州', '宜昌']"
20200314,7,"['西宁', '海西蒙古族藏族自治州']"
20200314,8,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200314,9,"['大同', '朔州']"
20200315,1,"['曲靖', '昆明', '玉溪', '楚雄彝族自治州', '红河哈尼族彝族自治州', '昭通', '大理白族自治州', '文山壮族苗族自治州', '张家口', '北京', '郑州', '驻马店', '漯河', '周口', '信阳', '南阳', '阜阳', '贵阳', '铜仁', '遵义', '重庆', '黔东南苗族侗族自治州', '泸州', '毕节', '黔南布依族苗族自治州', '新乡', '安阳', '焦作', '开封', '宿州', '徐州', '淮北', '合肥', '蚌埠', '商丘', '清远', '广州', '佛山', '韶关', '东莞', '百色', '湘西土家族苗族自治州', '怀化', '凉山彝族自治州', '成都', '攀枝花', '益阳', '长沙', '岳阳', '常德', '保山', '德宏傣族景颇族自治州', '临沧', '德州', '济南', '衡水', '聊城', '沧州', '滨州', '鹤壁', '濮阳', '邯郸', '湖州', '杭州', '嘉兴', '苏州', '宣城', '北海', '钦州', '邵阳', '娄底', '深圳', '梅州', '荆州', '宜昌', '恩施土家族苗族自治州', '承德', '唐山', '邢台', '石家庄', '保定', '镇江', '南京', '滁州', '马鞍山', '扬州', '常州', '宿迁', '无锡', '上海', '南通', '盐城', '九江', '南昌', '金华', '绍兴', '丽水', '衢州', '宁波', '温州', '台州', '上饶', '潜江', '潮州', '汕头', '揭阳', '淄博', '东营', '泰安', '济宁', '临沂', '永州', '衡阳', '郴州', '菏泽', '许昌', '天津', '廊坊', '潍坊', '抚州', '连云港', '六盘水', '肇庆', '云浮', '株洲', '安顺', '枣庄', '亳州', '达州', '巴中', '宜春', '新余', '萍乡', '青岛', '日照', '烟台', '来宾', '柳州', '南宁', '桂林', '河池', '安庆', '池州', '铜陵', '洛阳', '平顶山', '泰州', '湘潭', '张家界', '三门峡', '自贡', '秦皇岛', '南充', '广安', '广元', '黔西南布依族苗族自治州', '厦门', '龙岩', '漳州', '芜湖', '泉州', '内江', '湛江', '茂名', '玉林', '雅安', '防城港', '宁德', '眉山', '乐山', '莆田', '福州', '资阳', '遂宁', '德阳', '绵阳', '丽江', '景德镇', '鹰潭', '惠州', '中山', '河源', '江门', '舟山', '汕尾', '崇左', '贵港', '三明', '赣州', '威海', '六安', '淮南', '珠海', '吉安', '阳江', '梧州', '南平']"
20200315,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200315,3,"['朝阳', '通辽', '赤峰']"
20200315,4,"['大庆', '营口', '盘锦', '哈尔滨', '长春', '葫芦岛', '本溪', '松原', '铁岭', '辽阳', '四平', '吉林', '抚顺', '绥化', '阜新', '鞍山', '锦州', '大连', '沈阳']"
20200315,5,"['武汉', '黄冈', '孝感']"
20200315,6,"['西宁', '海西蒙古族藏族自治州']"
20200315,7,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200315,8,"['大同', '朔州']"
20200316,1,"['梅州', '深圳', '湛江', '攀枝花', '长沙', '铜仁', '眉山', '六盘水', '泸州', '湘西土家族苗族自治州', '贵阳', '东莞', '株洲', '来宾', '遵义', '德宏傣族景颇族自治州', '曲靖', '常德', '遂宁', '桂林', '邵阳', '恩施土家族苗族自治州', '玉林', '惠州', '潜江', '韶关', '宜昌', '肇庆', '昆明', '汕头', '文山壮族苗族自治州', '衡阳', '揭阳', '雅安', '黔东南苗族侗族自治州', '百色', '乐山', '佛山', '保山', '成都', '中山', '南宁', '防城港', '广州', '达州', '柳州', '大理白族自治州', '广元', '南充', '临沧', '张家界', '资阳', '玉溪', '内江', '荆州', '益阳', '北海', '湘潭', '绵阳', '黔西南布依族苗族自治州', '广安', '河池', '汕尾', '珠海', '河源', '娄底', '红河哈尼族彝族自治州', '昭通', '梧州', '茂名', '岳阳', '钦州', '崇左', '永州', '黔南布依族苗族自治州', '江门', '重庆', '潮州', '楚雄彝族自治州', '郴州', '云浮', '清远', '自贡', '贵港', '怀化', '丽江', '德阳', '安顺', '毕节', '凉山彝族自治州', '巴中', '贺州']"
20200316,2,"['阳泉', '鄂尔多斯', '汉中', '朔州', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '大同', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200316,3,"['大庆', '宁波', '南京', '济南', '营口', '赣州', '葫芦岛', '南昌', '枣庄', '沧州', '鹰潭', '徐州', '铁岭', '辽阳', '张家口', '宿州', '厦门', '景德镇', '台州', '青岛', '濮阳', '嘉兴', '绥化', '铜陵', '镇江', '邢台', '大连', '开封', '周口', '蚌埠', '舟山', '宜春', '日照', '连云港', '宣城', '滨州', '哈尔滨', '白城', '宁德', '杭州', '本溪', '许昌', '烟台', '北京', '泰安', '抚顺', '唐山', '扬州', '上饶', '淄博', '济宁', '阜新', '南通', '鞍山', '淮南', '上海', '龙岩', '福州', '九江', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '盘锦', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '四平', '保定', '吉林', '平顶山', '焦作', '佳木斯', '漳州', '马鞍山', '赤峰', '绍兴', '丽水', '吉安', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '长春', '廊坊', '石家庄', '抚州', '松原', '温州', '池州', '潍坊', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '通辽', '德州', '驻马店', '莆田', '漯河', '无锡', '新余', '南阳', '锦州', '合肥', '秦皇岛', '湖州', '沈阳', '威海', '朝阳', '承德', '淮北', '安阳']"
20200316,4,"['武汉', '黄冈', '孝感']"
20200316,5,"['西宁', '海西蒙古族藏族自治州']"
20200316,6,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200317,1,"['梅州', '深圳', '湛江', '攀枝花', '长沙', '铜仁', '赣州', '南昌', '眉山', '六盘水', '泸州', '湘西土家族苗族自治州', '贵阳', '东莞', '株洲', '来宾', '遵义', '德宏傣族景颇族自治州', '景德镇', '曲靖', '常德', '遂宁', '桂林', '邵阳', '恩施土家族苗族自治州', '玉林', '惠州', '潜江', '韶关', '宜昌', '肇庆', '昆明', '宜春', '汕头', '文山壮族苗族自治州', '衡阳', '揭阳', '雅安', '黔东南苗族侗族自治州', '百色', '乐山', '佛山', '保山', '成都', '中山', '南宁', '上饶', '防城港', '广州', '达州', '柳州', '大理白族自治州', '九江', '广元', '南充', '临沧', '资阳', '玉溪', '内江', '荆州', '益阳', '北海', '湘潭', '绵阳', '黔西南布依族苗族自治州', '广安', '河池', '汕尾', '珠海', '河源', '娄底', '红河哈尼族彝族自治州', '昭通', '茂名', '岳阳', '吉安', '钦州', '崇左', '永州', '黔南布依族苗族自治州', '江门', '重庆', '潮州', '楚雄彝族自治州', '郴州', '云浮', '抚州', '清远', '自贡', '阳江', '贵港', '怀化', '丽江', '德阳', '安顺', '新余', '毕节', '凉山彝族自治州', '巴中']"
20200317,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200317,3,"['大庆', '宁波', '南京', '济南', '营口', '葫芦岛', '枣庄', '沧州', '徐州', '铁岭', '辽阳', '张家口', '宿州', '厦门', '台州', '青岛', '濮阳', '嘉兴', '绥化', '铜陵', '镇江', '邢台', '大连', '开封', '周口', '蚌埠', '舟山', '日照', '连云港', '宣城', '滨州', '哈尔滨', '白城', '宁德', '杭州', '本溪', '许昌', '烟台', '北京', '泰安', '抚顺', '唐山', '扬州', '淄博', '济宁', '阜新', '南通', '淮南', '鞍山', '上海', '龙岩', '福州', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '盘锦', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '四平', '保定', '吉林', '平顶山', '焦作', '佳木斯', '齐齐哈尔', '漳州', '马鞍山', '绍兴', '丽水', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '长春', '廊坊', '石家庄', '松原', '温州', '池州', '潍坊', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '德州', '驻马店', '莆田', '漯河', '无锡', '南阳', '锦州', '合肥', '秦皇岛', '湖州', '沈阳', '威海', '承德', '淮北', '安阳']"
20200317,4,"['朝阳', '通辽', '赤峰']"
20200317,5,"['武汉', '黄冈', '随州', '孝感']"
20200317,6,"['西宁', '海西蒙古族藏族自治州']"
20200317,7,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200317,8,"['大同', '朔州']"
20200318,1,"['梅州', '深圳', '湛江', '攀枝花', '长沙', '铜仁', '赣州', '南昌', '眉山', '鹰潭', '六盘水', '泸州', '湘西土家族苗族自治州', '贵阳', '东莞', '株洲', '来宾', '遵义', '德宏傣族景颇族自治州', '景德镇', '曲靖', '常德', '遂宁', '桂林', '邵阳', '恩施土家族苗族自治州', '玉林', '惠州', '潜江', '韶关', '宜昌', '肇庆', '昆明', '宜春', '汕头', '文山壮族苗族自治州', '衡阳', '揭阳', '雅安', '黔东南苗族侗族自治州', '百色', '乐山', '佛山', '保山', '成都', '中山', '南宁', '上饶', '防城港', '广州', '达州', '柳州', '大理白族自治州', '九江', '广元', '南充', '临沧', '张家界', '资阳', '玉溪', '内江', '荆州', '益阳', '萍乡', '北海', '湘潭', '绵阳', '黔西南布依族苗族自治州', '广安', '河池', '汕尾', '珠海', '河源', '娄底', '红河哈尼族彝族自治州', '昭通', '茂名', '岳阳', '吉安', '钦州', '崇左', '永州', '黔南布依族苗族自治州', '江门', '重庆', '潮州', '楚雄彝族自治州', '郴州', '云浮', '抚州', '清远', '自贡', '贵港', '怀化', '丽江', '德阳', '安顺', '新余', '毕节', '凉山彝族自治州', '巴中']"
20200318,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
20200318,3,"['大庆', '宁波', '南京', '济南', '营口', '葫芦岛', '枣庄', '沧州', '徐州', '铁岭', '辽阳', '张家口', '宿州', '厦门', '台州', '青岛', '濮阳', '嘉兴', '绥化', '铜陵', '镇江', '邢台', '大连', '开封', '周口', '蚌埠', '舟山', '日照', '连云港', '宣城', '滨州', '哈尔滨', '白城', '宁德', '杭州', '本溪', '许昌', '烟台', '北京', '泰安', '抚顺', '唐山', '扬州', '淄博', '济宁', '阜新', '南通', '淮南', '鞍山', '上海', '龙岩', '福州', '三明', '聊城', '安庆', '信阳', '泰州', '南平', '盘锦', '鹤壁', '临沂', '盐城', '三门峡', '金华', '亳州', '新乡', '芜湖', '四平', '保定', '吉林', '平顶山', '焦作', '佳木斯', '齐齐哈尔', '漳州', '马鞍山', '绍兴', '丽水', '衢州', '菏泽', '商丘', '宿迁', '常州', '衡水', '阜阳', '泉州', '滁州', '天津', '长春', '廊坊', '石家庄', '松原', '温州', '池州', '潍坊', '洛阳', '邯郸', '苏州', '东营', '六安', '郑州', '德州', '驻马店', '莆田', '漯河', '无锡', '南阳', '锦州', '合肥', '秦皇岛', '湖州', '沈阳', '威海', '承德', '淮北', '安阳']"
20200318,4,"['朝阳', '通辽', '赤峰']"
20200318,5,"['武汉', '黄冈', '随州', '孝感']"
20200318,6,"['西宁', '海西蒙古族藏族自治州']"
20200318,7,"['陇南', '白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200318,8,"['大同', '朔州']"
20200319,1,"['梅州', '深圳', '湛江', '攀枝花', '铜仁', '赣州', '南昌', '眉山', '鹰潭', '六盘水', '泸州', '贵阳', '东莞', '来宾', '遵义', '德宏傣族景颇族自治州', '景德镇', '曲靖', '遂宁', '桂林', '恩施土家族苗族自治州', '玉林', '惠州', '潜江', '韶关', '宜昌', '肇庆', '昆明', '宜春', '汕头', '文山壮族苗族自治州', '揭阳', '雅安', '黔东南苗族侗族自治州', '百色', '乐山', '佛山', '保山', '成都', '中山', '南宁', '上饶', '防城港', '广州', '达州', '柳州', '大理白族自治州', '九江', '广元', '南充', '临沧', '资阳', '玉溪', '内江', '荆州', '北海', '绵阳', '黔西南布依族苗族自治州', '广安', '河池', '汕尾', '珠海', '河源', '红河哈尼族彝族自治州', '昭通', '茂名', '吉安', '钦州', '崇左', '黔南布依族苗族自治州', '江门', '重庆', '潮州', '楚雄彝族自治州', '云浮', '抚州', '清远', '自贡', '贵港', '丽江', '德阳', '安顺', '新余', '毕节', '凉山彝族自治州', '巴中']"
20200319,2,"['阳泉', '鄂尔多斯', '汉中', '商洛', '长治', '巴彦淖尔', '晋城', '延安', '西安', '渭南', '榆林', '忻州', '晋中', '临汾', '乌兰察布', '咸阳', '呼和浩特', '安康', '乌海', '宝鸡', '包头', '吕梁', '铜川', '运城', '太原']"
