,段起点,段止点,w
244,南蕴藻路,朗枫路,0.13055607215919657
245,郎枫路,朗悦路,0.12773567231542196
246,郎悦路,纬地路,0.13210723999481933
247,上大路,环镇北路,0.13386834549794183
248,环镇北路,洛场路,0.13027795459367705
249,洛场路,南大路,0.3388585993281907
250,南大路,真大路,0.1342841266901278
251,真大路,汶水路,0.12744159152919068
252,塘西街,罗店新街,0.0
253,罗店新街,唐家弄,0.0
254,长康路,康宁路,0.3749560817932682
255,新沪路,大华路,0.3694014054694776
256,大华路,真华路,0.37055837563451777
257,真华路,真金路,0.3650615901455767
258,真金路,真北路,0.43405124980349
259,灵石路,怡华苑路,0.40272792534099067
260,怡华苑路,大华三路,0.39500628704867974
261,大华三路,新沪路,0.3327595649792661
262,泰和路,淞滨路/淞浦路,0.23076923076923078
263,淞宝路,泰和路,0.2512693498452012
264,玻璃厂,泰和路,0.3684210526315789
265,沪太路,桃浦河桥,0.2838890970400899
266,桃浦河桥,南陈路(与宝山公路交界处,0.18467670504871567
267,青石路,三门路(与杨浦交界处),0.3269838403899973
268,殷高路,青石路,0.2930327868852459
269,呼兰路,呼玛路,0.1764069264069264
270,呼玛路,长江西路,0.46153846153846156
271,静安区交界,沪太路,0.24792626728110598
272,向阳河路,一二八纪念路,0.19164984191078435
273,一二八纪念路,殷高西路(与虹口交界处),0.18879751745539178
274,江杨北路桥,长江西路,0.16266116059638425
275,蕰藻南路,江杨北路桥下便道,0.35782360076243286
276,长江西路,向阳河桥,0.1798588594316231
277,蒋巷街126弄3号,蒋巷街126弄6号,0.0
278,竹巷街,罗溪路,0.0
279,张桥新村,罗溪路,0.0
280,顾太路,顾北路,0.0
281,杨盛河桥,蕰川路(与路政局交界处）,0.19941836310760283
282,淞沪路,国江路,0.14809121188829105
283,国江路,逸仙路,0.21428571428571427
284,逸仙路,长江路,0.1524655547498187
285,长航锚地(与杨浦交界处),淞沪路,0.1505995767693393
286,友谊路,信访办,0.26778242677824265
287,长江西路南60米,长江西路,0.1794871794871795
288,长江西路,花园宅路,0.1794871794871795
289,花园宅路,泥城河桥,0.26677316293929715
290,泥城河桥,场北路,0.2211097912777872
291,场北路,花园宅河桥,0.20880236205942057
292,花园宅河桥,南蕰藻路,0.28
293,南蕰藻路,蕰藻浜,0.3939393939393939
294,花园宅路,泥城港桥,0.20833333333333334
295,泥城港桥,场北路,0.20833333333333334
296,场北路,南蕰藻路,0.3014432029795158
297,护厂河桥,富锦路,0.2995665634674923
298,富锦路,湄浦路,0.5288461538461539
299,盘古路,友谊路,0.32608695652173914
300,友谊路,杨行镇泗塘村卫生院（室）,0.431924882629108
301,富锦路,湄浦河,0.3387964774951076
302,湄浦河,盘古路,0.2461884961884962
303,罗溪路,韩家湾路,0.0
304,铁山路,杨行火车站,0.30656934306569344
305,铁峰路,铁山路,0.3300430023455825
306,逸仙路,东海船厂大门,0.3231083844580777
307,梅林路,杨盛河桥,0.296875
308,杨盛河桥,竹韵路,0.3571527681420841
309,竹韵路,杨泰路,0.33762886597938147
310,盘古路,东晨市容公司,0.33649289099526064
311,共富路,高泾河,0.4
312,泰和西路,共富路,0.39312488571951
313,高泾河桥,联谊路,0.4
314,杨盛河,泰联路,0.0
315,粮管所,粮管所东侧,0.0
316,一二八纪念路,共康东路,0.4215285048063196
317,共康东路,闸北交界,0.4137717121588089
318,梅林路,蕰川路,0.4375
319,宝泉路,北安路,0.3416095890410959
320,双泉路,宝泉路,0.41109422492401215
321,北安路,德都路,0.40505050505050505
322,抚远路,潘泾路,0.0
323,塘西街,南弄街,0.4
324,南弄街,罗太,0.4057827507674027
325,一号桥,月罗,0.18763578905787084
326,二号桥,市一路,0.2036007351305793
327,罗新路,杜家桥,0.33308383233532934
328,杜家桥,祁北路,0.3457159976033553
329,祁北路,二号桥,0.36047077285209883
330,市一路,一号桥,0.02425104405410057
331,南弄街,罗太,0.0
332,沪太路,场联路,0.3723477070499658
333,场联路,乾溪小区门口,0.4822485207100592
334,龙飞路,桃园港桥,0.17827298050139276
335,桃园港桥,杨鑫路,0.18787585145495486
336,杨鑫路,水产路,0.16608996539792387
337,水产路,北黄泥塘桥,0.17142355317467287
338,北黄泥塘桥,钱鑫路,0.2
339,钱鑫路,莲花山路,0.17344173441734417
340,莲花山路,南黄泥塘桥,0.22255639097744362
341,南黄泥塘桥,泰和路,0.1591160220994475
342,龙飞路,沙浦河桥,0.18725992317541612
343,宝杨路,沙浦河桥,0.17053459119496853
344,江杨北路,小区大门,0.2538700453559456
345,克东路,铁力路,0.45085371481310565
346,克山路,克东路,0.28942807625649913
347,铁力路,铁路,0.3
348,东林路,城河桥,0.487782640408461
349,护城河西岸,东林路,0.4323185011709602
350,牡丹江路,友谊路,0.4764109347442681
351,团结路,牡丹江路,0.4551638837353123
352,友谊支路,团结路,0.461631419939577
353,城河桥,友谊支路,0.5115458627325209
354,密山路,区发改委、机关幼儿园,0.0
355,樟岭路,同济路,0.19353081375553285
356,同济路,北泗塘河桥(与杨行镇交界,0.2747784045124899
357,牡丹江路,樟岭路,0.21113302921957833
358,友谊支路,团结路,0.2292796281951975
359,北泗塘河桥,克山路,0.0
360,东林路,友谊支路,0.17256102747299482
361,团结路,牡丹江路,0.27337871730562524
362,双城路,水产路,0.375
363,淞宝路,泰和路,0.375
364,友谊路,密山路,0.5194356065845899
365,密山路,宝林路,0.40994094488188976
366,泰和路,淞滨路,0.4444444444444444
367,护厂河桥,马路河桥,0.2222222222222222
368,宝杨路,海江路,0.2899240621103933
369,海江路,永乐路,0.0
370,马路河桥,富锦路,0.2222222222222222
371,富锦路,漠河路,0.22219020172910664
372,盘古路,友谊路,0.4714593089482344
373,漠河路,盘古路,0.23452321517723415
374,永乐路,双城路,0.43424073466710394
375,水产路,淞宝路,0.375
376,宝林路,宝杨路,0.5487493619193466
377,牡丹江路,244弄,0.0
378,新沪路,灵石路（与普陀交界处）,0.45986496624156037
379,罗阳河路,化工厂,0.16774193548387098
380,罗升路,罗阳河路,0.0
381,市河街,罗升路,0.0
382,铁力路,铁峰路,0.3381505111845645
383,长浜街,杨南路,0.0
384,共和新路,长临路,0.25963808025177026
385,长临路,东茭泾桥,0.375
386,东茭泾桥,康宁路,0.375
387,康宁路,大康路,0.375
388,大康路,康文路,0.375
389,康文路,场北支路,0.375
390,团结路,牡丹江路,0.41628664495114004
391,克山路,铁力路,0.42313084112149535
392,北泗塘河桥,克山路,0.329503016374605
393,吴淞口路,东林路,0.36105476673427994
394,樟岭路,同济路,0.40228502705953095
395,同济路,北泗塘河桥,0.37143300248138955
